Position,Move,Depth,Score
2k5/ppp3pp/6N1/8/8/2b1P1P1/2NrK1BP/6B1 w - - 1 26,e2f3,30,-354
2r3r1/pp2kpb1/2b1p1pp/4n3/4PQ2/PP1PN1P1/2P2P1P/1R3RKB w - - 0 18,e3d5,20,+710
1q1rkr2/pp3pnp/2pn2pQ/3p4/3Pb3/2P2NP1/PP2P2P/3RKRNB b KQkq - 1 15,g7f5,30,-292
3r3q/pkn3bp/1p3pp1/2p1p3/8/1NP1N1QP/PP2BPP1/6K1 b - - 0 21,f6f5,30,-378
bbnrkr2/p2pppp1/1p3n1q/7p/2PN4/1P1N3P/P3PPP1/BB1RKR1Q b KQkq - 0 7,c8d6,50,-78
qr3rk1/ppp2bbp/2n2p2/3ppP2/3nN1PP/2NP4/PPP5/QK1RR1BB w - - 0 14,e4f6,30,+311
1k1rr1q1/1pp1b1pp/1n1p3n/p2bPpN1/3P1P2/1N1BB3/PPP4P/1K1R1RQ1 b - - 1 17,b6c4,50,-10
bnqnrrkb/p2p1p1p/1pp3p1/4p3/4P3/1P2N1P1/P1PPNP1P/B1Q1RKRB b KQ - 1 6,c6c5,50,0
1rbkr2b/pppp2pN/1nnq1P2/4p3/4P3/8/PPPP1P1P/NRBKRQ1B b KQkq - 0 7,g7f6,30,-268
5rk1/p6p/1pp2R2/2q5/2p5/2P5/PP4PP/4R2K w - - 1 34,f6f8,20,-544
7r/qbpRk1pp/2B1p3/4P3/1p4P1/8/P6P/B6K b - - 3 28,e7e8,15,-3842
r1k1b1r1/pppp1pqp/2n3p1/4b3/3nP3/2P1B1P1/PP5P/RNKN1QRB w KQkq - 0 9,c3d4,30,+245
1r2k1r1/pp1bq2p/2p2bp1/3p1p2/2nN1P2/2P1P3/PPB3PP/1RB2RKQ w kq - 3 14,b2b3,40,-140
1k4r1/pp4pp/6n1/3ppp2/3rbP2/4K3/PP4PP/R5R1 b - - 0 22,d4d3,18,-1578
1r4kb/1pp1pr1p/pn1p4/5p2/3P4/1PPN2P1/P1NB1P1P/1R1K2R1 w KQ - 0 16,c2e3,20,+528
rbqnbrk1/pppppppp/6n1/8/2P5/6N1/PP1PPPPP/RBQNBKR1 w KQ - 3 3,d2d4,50,+26
2q2krb/p4p1p/bp1rp1p1/2p5/2Pn1PN1/1P4P1/P2P3P/B1Q1RRKB b k - 1 15,a6b7,50,-47
1nqbrkbr/ppp2p1p/1n1pp1p1/8/3PP1B1/1P3P2/P1P3PP/NNQ1RKBR b KQkq - 0 5,h7h5,50,+7
brq1knrn/pp1pp1pp/5p2/2p5/2P5/2Q1N3/PP1PPPPb/BR1BKR1N w Qkq - 0 5,g2g3,50,0
1q1r1rk1/pp1nnpbb/6p1/3pPP1p/3p4/1PPBN3/P3NB1P/1Q1RK1R1 w Q - 0 17,c3d4,30,+213
r4q1r/1p1k1pb1/2pn2pp/p2nB3/3N2PP/2PP2Q1/PP6/1RNKR3 b Q - 3 19,a8e8,50,0
brknqbnr/p1ppp1pp/1p3p2/8/2P5/1P3N2/P2PPPPP/BRKNQB1R b KQkq - 1 3,e7e5,50,-24
2r1krb1/qpp3pp/p4pn1/4p3/3nB2P/1P2N1P1/P1QPPP2/2R1KRB1 w KQkq - 0 13,e4g6,30,+413
r1knb2r/p2n1pb1/1q2p1p1/1p1p2Pp/2pP3P/P1P1PN2/NPB2P2/RQK1B2R b KQkq - 1 13,a7a5,40,-106
1rk1r1q1/p1p4p/1p1p2p1/3Ppp2/PP4P1/2P5/3K3P/BR4Q1 w q - 0 18,c3c4,20,-508
1q5r/3r1pk1/p4Rn1/B1pP4/2Q1p3/8/PP4PP/5R1K w - - 0 29,d5d6,20,+592
2r2rkb/p3pnpp/2n2p2/q1pB4/2P2N2/6P1/P1P1PP1P/B1RQ1RK1 w - - 1 13,c1b1,30,+462
1bk3Rr/ppn4p/2pnp3/2Np1p2/3P4/2PN1P1q/PPQ1PB1P/1K1R4 b - - 0 17,h8g8,30,+232
5rk1/p1pp3p/1p2p1p1/8/P5P1/1K1P4/2P3BP/8 w - - 1 31,g2b7,20,-589
qrnkbb1r/ppp2ppp/3p1n2/4p3/P3P3/3P1N2/1PP2PPP/QRNKBB1R b KQkq - 0 4,a7a5,50,+20
nbqrbrk1/pp1ppppp/5n2/2pP4/2P5/5N2/PP2PPPP/NBQRBK1R b KQ - 0 4,f6g4,30,+209
bn1qk1r1/p3bppp/2p1p1n1/1PP5/4N3/8/P4PPP/BNQ1KBR1 b Kk - 0 10,e8f8,50,-71
rknnrbbq/pppppp1p/6p1/8/4P3/2N5/PPPP1PPP/RKN1RBBQ b KQkq - 0 2,e7e5,50,0
8/1n3k2/2N2pp1/1p1P1b1p/1B1K4/1P4P1/7P/8 b - - 2 39,f5c2,50,+5
1k3r2/2p5/1pB2b2/5ppp/2pP1P2/pqP3P1/1P2R2P/1K2R1B1 w - - 2 25,e2d2,30,-399
8/8/8/1b6/1P2p3/3pNk2/3K3P/8 b - - 0 44,f3f4,50,0
1r4k1/3q1bpp/n3p3/1r1pPp2/p2Q1P2/P4P1B/KP2N2P/2R3R1 w - - 4 29,c1c2,40,-134
1brk1qbr/pp1pp1pp/2p2n2/5p2/3P3P/1PnN1PP1/P1P1P3/NBRK1QBR w KQkq - 1 7,d1d2,30,-353
br5r/4nkpp/5p1q/p1P5/8/2B5/2p4P/1K2Q3 w - - 0 31,b1c2,3,-1502
qrbbkn1r/p2p2pp/1p2pn2/5p2/3P4/4PN2/PP1N1PPP/QRBBK2R w KQkq - 2 7,b2b4,50,-12
nr1knq2/p1pp4/1p3p2/6p1/8/1N1N2P1/PPP1PB2/2K4Q b - - 0 15,f8f7,30,-327
r1n2r1k/1p1bq2p/2pp1bn1/P3ppp1/NPP5/1N1PP3/1B1Q1PPP/1R3RKB b - - 2 17,e7f7,40,+124
1nrkrnq1/p2ppp1p/1p4p1/2p5/2P5/1PP1N1P1/P3PP1P/2RKR1Qb w KQkq - 0 7,g1h1,20,-414
3r4/pR1P4/Pb3k1p/1Rn2p2/2P5/8/6K1/8 w - - 3 43,b7b6,50,0
5rkr/pqppb1pp/2n1pp2/1p3n2/1P6/P3PBP1/QBPP1P1P/1N3RKR b KQkq - 0 10,a7a5,50,+15
rk1br2q/ppppp1p1/1n6/8/4PnPp/1NB5/PPP4P/RK1B1R2 b Qkq - 1 12,e7e5,20,-802
5r1k/p3n1pp/1q1b2n1/4pp1N/5N2/2Q2P2/P5PP/B1R4K b - - 7 25,f8c8,20,-471
2kr3r/ppp1b1pp/1nn1q3/4p1P1/4P3/1N1P4/PPPBB1Q1/2KR3R w - - 1 18,e2g4,20,+606
nbrkbrnq/ppppp2p/6p1/5p2/3P4/1N6/PPP1PPPP/1BRKBRNQ w KQkq - 0 3,c2c4,50,+39
8/1p4pp/6r1/kp6/5P2/BP3bP1/P1P4P/2K1R3 w - - 3 30,a3c5,30,+463
rkr2q1b/pp1bn2p/3p1pp1/3pp3/4PP2/2N3P1/PPPP1B1P/RKR3QB b KQkq - 1 11,d5d4,50,-51
3r2k1/pp5p/4q1p1/1bPp1r2/1P2pBNP/6Q1/P5K1/1B4R1 b - - 2 28,f5f4,50,0
1r6/6kp/6p1/p3p1n1/P3Pn2/1P2QPq1/1KB4R/7R b - - 13 38,b8b7,30,+325
qbnrbkr1/pppppppp/6n1/8/1P6/8/P1PPPPPP/QBNRBKRN w KQkq - 1 2,c2c4,50,0
1k1r4/1p6/2n1p3/4Pp2/BPR2Pp1/2Pp2P1/1P5r/1K2R3 w - - 3 38,a4c6,30,+365
8/7R/1k3pp1/1P2pn2/8/5KP1/7P/8 b - - 0 40,b6b5,20,+538
1k1rr3/pppq2pp/6n1/8/1bN5/1P6/P1PP2PP/RK1Q1RB1 w Q - 3 23,b1b2,50,0
rqkrnnbb/pppp1p1p/6p1/8/3pP3/2P5/PP3PPP/RQKRNNBB w KQkq - 0 4,c3d4,50,0
bbqr2kr/p1p1pppp/1p2nn2/8/2PP4/3NN3/P3PPPP/BBQR2KR b KQkq - 0 6,e6d4,40,-150
rk5r/1p1p3p/2p5/6p1/5p2/PB1PnPP1/1K5P/R3R3 w kq - 0 22,g3f4,30,-267
r1bnqkrb/pp5p/2p3p1/4np2/4N3/1P2P1P1/PBPP3P/R2NQRKB w kq - 0 10,b2a3,30,+374
8/p5p1/6kb/8/4P2R/P7/1PP3K1/8 w - - 1 33,h4h3,20,+592
rkqr2bn/ppppppbp/3n2p1/8/7P/1PPN4/P2PPPP1/RKQR1BBN b KQkq - 0 4,e7e5,50,-64
rr3bk1/1npq3p/3p2n1/p2Pp1p1/N1N1Pp2/5P2/PPR2BPP/1K2R1Q1 w - - 11 23,b2b3,30,+227
8/2p2k1p/3p4/5p2/p1r1pP2/6RP/8/6K1 w - - 2 32,g3a3,20,-636
r1knqbbr/pppppp1p/2n3p1/8/5P2/P1N5/1PPPP1PP/R1KNQBBR b KQkq - 0 3,f7f5,50,+23
nrkqn1br/Bpp2ppp/3bp3/3p4/8/1N3P2/PPPPP1PP/1RKQNB1R w KQkq - 1 4,a2a4,30,+263
bqrb1k1r/p2ppppp/1p3n1n/2p5/2P5/1P2PB1P/P2P1PP1/BQR1NKNR b KQkq - 0 5,h6g8,50,+57
2k1rnbn/p6p/1pp3p1/3r3N/1P6/3B4/P3P2P/R2KR3 w K - 0 18,h5f6,30,-389
rnbknqrb/ppp1pppp/8/3p4/3P4/6P1/PPP1PP1P/RNBKNQRB b KQkq - 0 2,c7c6,50,+26
2k4b/ppn5/2pp4/6p1/3P1pP1/4qN1P/P6K/5R1B b - - 1 28,c7d5,20,-679
rk3q1b/ppp2p1p/4r3/3Q4/3Bp3/6P1/PPPPP2P/RK2R3 b Qq - 2 16,e6d6,50,+18
3R1Q1Q/8/2Q5/8/2kBP3/6K1/8/8 b - - 2 66,c4d3,1,+5626
1rk2q1r/pb2b2p/1pppnpp1/8/2BQP3/1P3PN1/P1P3PP/2KR3R w kq - 0 15,c4e6,50,+10
b1krnqrb/p2ppppp/1p1n4/2p5/2P5/1P3NP1/P2PPP1P/BRNK1QRB w KQ - 0 5,b3b4,50,+117
r3r3/k1n1q3/1p1p1ppp/p1pP4/P3PP1P/1PQB2P1/8/1K2R2R w - - 2 27,g3g4,50,+71
8/2b5/5k2/2pPp1p1/2P1Kp1p/5P1P/5BP1/8 b - - 7 45,c7b6,20,+496
2r5/p3B1kp/3n4/1P4p1/8/6P1/P6P/N1K4R w - - 0 30,c1b2,20,+494
6rn/PQpk1b1p/2p1p1p1/2p1bp2/2q4B/2P5/1P1P3P/1RK5 w - - 1 27,h4g5,20,-664
nbrk1qnr/pp3ppp/2p1p3/1bPp4/1B1P4/8/PP2PPPP/NBRK1QNR w KQkq - 0 5,f2f4,50,+73
3r4/ppkp3p/6p1/8/P3p3/1PBnP1P1/KPq4P/1R4Q1 b - - 1 26,d8f8,30,-288
rk2r3/1pp1p2p/p3n3/1b1pqp2/6p1/1Q2P1P1/PPP2PP1/1NKRR2B b kq - 1 15,c7c6,30,-335
rb1n1kqr/ppppp1pp/1n4b1/5p2/8/3PNP2/PPP1P1PP/RBN1BKQR w KQkq - 1 4,a2a4,50,+64
b2r1rk1/p1b2pnp/1p2q3/2ppppQ1/4P2N/2PP1PP1/PP2B2P/BR1R2K1 b - - 4 15,d5e4,30,-300
nqbnrkrb/pppp1ppp/8/4p3/3P4/1N6/PPP1PPPP/1QBNRKRB b KQkq - 0 2,c7c6,50,+35
4krb1/p3n1pp/5pn1/8/2Pp4/1P3PP1/P3N1P1/1B1KR3 w k - 0 16,e2d4,50,-56
brn2rkb/p1p1qppp/3p4/1p6/4nN2/1P4P1/PBPPN2P/2KRQR1B b - - 1 9,g7g6,50,0
1k1q1nr1/pp4b1/2pNp1p1/2n5/3p4/6P1/PP3P1P/RQ2R1KB w - - 0 20,b2b4,30,+377
nr2qbkr/pp3ppp/2ppn3/4p3/5P2/1P1P2P1/1PP1P1BP/1RBNQ1KR w KQkq - 1 7,e2e4,40,+105
rkbrnbnq/p2ppppp/1pB5/8/8/6P1/PPPPPP1P/RKBRN1NQ b KQkq - 0 3,d7c6,30,-267
r2b1rk1/pq2pbpp/1p6/3nP3/P3B3/1P2N3/1Q2N1PP/R3BRK1 b - - 0 18,e7e6,20,+564
nbrkqr1n/1ppp2pp/p3b3/4pp2/2P1P3/1P1P4/P4PPP/NBRKQRBN w KQkq - 0 5,e4f5,50,+78
1r2qk1r/pppp2pp/1n2bp1b/3n4/5N2/1P1PP3/P2QBPPP/NR3KBR b KQkq - 7 11,d5f4,30,-243
n1r1kb1r/p2q1npp/1p3p2/2pPp2P/2P3P1/4N2R/PP3P2/NQR1K1B1 w Qkq - 1 14,a1b3,50,0
1q1r2k1/pp2pp1p/4b1p1/P7/1P2PP2/6P1/1Q2B1P1/2R3K1 w - - 2 24,g1h2,50,0
n2k1r2/pb3q2/1p1p1N2/3P1p2/1P6/1N1Q4/P4PPP/2R3K1 w - - 4 23,b3d4,30,+420
1n1q1kbr/1pn3pp/1pp2p2/8/8/1NNB2P1/PPP4P/4QRK1 b k - 0 13,b8d7,50,-81
2kr2r1/p1p4p/bp1p3P/1P3pp1/3p4/R2BnPP1/1K2P3/7R w - - 0 30,a3a6,30,-300
3r3b/ppp2k2/3p1np1/3Pp1B1/2P1P3/2N4q/PP1K4/n2R3B b - - 1 17,h3g3,20,-857
rb1knnr1/ppp2p1p/3p2p1/4q3/4P1b1/3P1NP1/PPP4P/RBBK1NRQ b KQkq - 2 6,e5h5,50,0
qrbbknrn/ppp3pp/4p3/3p2p1/1P6/8/PBPPPP1P/QR1BKNRN w KQkq - 0 5,f1e3,50,+77
8/8/5k2/5B2/1p3Kp1/1P4P1/2P5/8 b - - 0 58,f6f7,20,+762
1r6/p2k1ppp/3P4/8/P3Np2/1P1RbP2/1r4PP/3R3K w - - 1 28,d3c3,40,+280
1q1r1rk1/ppb1nppp/2p1p3/5b2/1PPP1Pn1/P1N2BP1/1Q3N1P/2BRR1K1 b - - 4 17,h7h5,50,0
nrbkq1rn/pppp1ppp/8/2b1p3/4P3/2P5/PP1P1PPP/NRBKQBRN w KQkq - 1 3,a1c2,50,+91
1b1rk2r/p2b1qpp/1n1p4/3Pnp2/2PNp3/4N1P1/PB2QP1P/1B1RK2R b KQkq - 4 14,e8g8,50,-58
8/1p3k2/p2p2p1/1p6/2Pb1P2/R5P1/5r1P/7K w - - 0 38,c4b5,20,-596
r4nk1/2N2b1p/1p4p1/8/1N6/P3P3/1b4PP/4K1BR b K - 1 22,a8a3,30,-343
brk1qb1r/ppp1pppp/8/4n3/3Pp3/1P6/P1P1PPPP/BRK1QB1R w KQkq - 0 7,d4e5,50,+5
3rrk2/pp3b2/2p2p2/3p4/4B2P/1NP1PN2/PP2QP2/2K5 b - - 0 24,d5e4,20,+535
2k5/1p2np1p/2p2p2/8/3N1Pb1/2P3P1/qPB4P/2K4Q w - - 2 21,h1e1,50,+27
8/pp6/2p1nk2/2P3p1/1PB2P2/P3K2P/8/8 b - - 0 40,e6f4,50,0
1q1r1rk1/3bn2p/pp1b1p2/4pP2/4P2P/1P1P1N2/P3NQ2/1B1R1R1K b - - 0 23,g8h8,50,+11
3r2k1/1ppr2pp/p4pn1/2N1pq2/2Pn4/PP2BP2/2P2QPP/R4RK1 w - - 4 18,g2g4,30,+440
2krr3/p1p3qp/1p1p2p1/n2Ppp2/1PP2P2/2Q1PNP1/P6P/2KR1R2 b - - 0 16,a5b7,40,+208
qbbr1rk1/p3pppp/1pppn1n1/8/2PPP3/4N1N1/PP3PPP/QBBR1RK1 w - - 4 7,d4d5,40,+174
1n1r1k1r/pn3b1p/2p2ppb/P2p1B2/1P1PP3/2P1P2P/6PB/3QRRK1 w k - 0 20,f5e6,20,+690
rbq1b1kr/3ppppp/1pp5/8/2P5/1N2PP2/NQ3BPP/1B3RK1 b kq - 1 15,c8a6,50,0
3r4/p7/1p2P2k/3p4/3P3P/6K1/PPP3r1/8 w - - 0 39,g3g2,20,-544
8/4r3/7p/1P3Bk1/6P1/1K6/8/7R b - - 0 49,e7e3,20,+718
2kr2r1/1ppqppbp/pn1p2p1/B2P2P1/2P2Q2/1P2NB2/1PK5/R7 b - - 2 23,c8b8,30,-415
n1q2k1r/pp2ppbp/2b3p1/8/2P5/1P2Q3/P1N1NPPP/1B1rBK1R b Kk - 5 15,d1b1,20,-533
rbqnkrb1/pppppppp/6n1/8/2P5/8/PP1PPPPP/RBQNKRBN w KQkq - 1 2,f2f4,50,+37
1b2rkqr/p1n2ppp/b4n2/1pQP4/2P5/1P3B2/P3P1PP/N1BR1K1R b KQk - 2 14,e8e7,20,+1025
1r2krqb/p1ppp1pp/1p1n4/5p2/5P2/1NN3P1/PPPPP2P/BR2KR1Q b KQkq - 0 7,g7g5,30,+396
2r4r/kb1p4/1p2p3/2q1P1p1/4Pp1p/1P1B4/P4QPP/4RRK1 w - - 7 26,h2h3,30,-236
bk1rr3/2p2p2/1p1p2p1/p6p/1n1RPP2/1P2N1P1/P1P4P/1K2R2B w - - 0 20,a2a3,50,-2
1r3krq/pbn1pp1p/1b6/1ppp2pB/3P4/4P1P1/PPP2PQP/NRB2RK1 w kq - 0 11,d4c5,50,+37
rbkrb1nq/ppp2ppp/6n1/3pp3/6P1/2PP4/PP2PP1P/RBKRBNNQ w KQkq - 0 4,a2a4,50,-23
2krbrqb/ppn4p/2n3p1/3p1p2/2PPpP2/1N2B1P1/PP3Q1P/1NR2RKB b - - 0 12,d5c4,20,-423
6k1/2pp3p/1p2p1p1/1P1n4/5PK1/6P1/1r5P/3R4 b - - 7 36,d5e3,20,-1446
1qrnk1r1/p1ppp1bb/2n2ppp/8/1p3P2/1PPP2P1/P2BPNBP/QNR2RK1 b q - 0 11,g6g5,40,+150
8/2p4R/2kp1p2/2p5/5B2/P4nP1/KPP5/8 w - - 3 32,f4e3,20,+587
r2k1qrb/p1pb1n1p/Qp1p2p1/3P1P2/1B3P2/6P1/PPN4P/1RK3RB b KQ - 0 16,g6g5,50,+32
8/3k2pp/3p1p2/P2K4/5b2/7P/8/8 w - - 0 44,a5a6,20,-738
8/kp6/p4r2/P1P1q1p1/1Q1pP3/3P1p2/2P2B1P/7K b - - 0 39,f6h6,20,-533
brq1kbnr/pppp2pp/4np2/8/3BP3/1P6/P1P2PPP/1RQNKBNR w KQkq - 1 5,d4a7,40,+187
br1kr1qb/p1pnn2p/1p2p1p1/3pP3/5P2/1P1N4/PBP3PP/1R1KRNQB w KQkq - 1 9,h2h4,50,+63
bqnr1krb/4pp2/2p3p1/p2p4/2PP4/1PpN2P1/P1Q1PPBP/3RNRK1 w kq - 0 11,c2c3,30,+367
8/1p5p/p5p1/8/2B5/kP6/P5RP/4qR1K b - - 12 42,e1e4,30,+387
8/5kp1/3p1p2/1pq5/7Q/1P4PB/5R1P/3b2K1 b - - 1 41,d1b3,20,+453
b1nnr1kr/p1ppp1bp/1q3pp1/1p2P3/5P2/1P2N3/PQPP2PP/B1N1RBKR b KQkq - 2 6,d8e6,50,-64
r1k1nqbr/ppp1bp2/2np3p/8/3PP1p1/2N1Q3/PPPNB1PP/R1K3BR b KQkq - 1 9,f7f5,50,+38
qbbr1krn/p1pppppp/1p3n2/8/8/1P6/PBPPPPPP/QB1RNRKN b kq - 1 3,d7d5,40,+113
1br1qk1r/p2p1ppp/1p2nn2/2pPp3/8/1P3N2/P1PP1PPP/BBR1QRK1 b kq - 0 7,f6d5,50,+8
1br2rk1/pq3ppp/6n1/1b2p3/1Pp5/2PnNPN1/B2P1BPP/Q2R1RK1 b - - 4 14,c8c6,30,-271
1bqrknnr/pb1ppppp/1p6/2p5/2P5/1P3N2/P2PPPPP/BBQRKN1R w KQkq - 2 4,a1g7,20,+519
4q3/p2knp1p/1pr1p1p1/3BP3/8/BP3Q1P/P4PP1/3R2K1 b - - 0 24,e7d5,50,0
rbknbqr1/pp2pppp/6n1/3p4/3P4/6N1/PP2PPPP/RBKNBQR1 w KQkq - 0 5,e2e4,50,+36
bnrb1k1r/p1pq1ppp/5n2/3p4/3Pp3/1PN1P3/P2N1PPP/B1RBQK1R w KQkq - 1 9,h2h4,50,-36
8/p3bk1p/8/P5p1/1PR2P2/2P3P1/4K2P/R3B3 w - - 1 37,c4c7,15,+1581
2r2rk1/3p1bpp/pq1P1nn1/1p2p3/1P2P3/2N3P1/P2Q1B1P/1B1R1RK1 b - - 4 20,b6b7,50,+28
1r4k1/pp3p1r/1n1b2p1/2p2q1p/2P5/2B2B2/PP3PPP/1RQ2RK1 w q - 7 17,b2b3,40,+240
rnb1krqn/pppp2pp/5b2/8/8/8/PPPPP1PP/RNBBKRQN w KQkq - 0 4,b1c3,40,+167
r3krbb/pppq3p/1nnp2p1/5p2/5P2/2N3P1/PPPPNB1P/RQ2KR1B w KQkq - 4 9,b2b4,50,-3
rkn5/ppp2Q1p/5np1/8/8/2q3P1/P1P2P1P/RKNR4 w KQq - 1 13,d1d3,30,+359
2rk2r1/p6p/1p1qp1nB/2b2p2/2P5/1P1Q1N2/P4PPP/2R2RK1 w q - 2 18,d3d6,20,+401
4r3/4ppkp/3p2p1/2p1n3/1pP1PN2/1N1P1nPq/rP2R2P/1Q3R1K b - - 1 22,h3f1,30,+307
rknRn1bq/ppp3pp/8/4p3/1b6/5N2/PPP1P1PP/RKN2BBQ w Qq - 1 7,d8e8,20,+740
r1k3rn/bppqpp1p/p2pb1p1/8/2P5/1Q1PP3/PP3PPP/R1K1BNRN b KQkq - 0 9,d6d5,40,-171
1k4bn/2p2r1p/2q1p3/p2p4/3P4/1PN1b1NB/2PK2PP/R5B1 w - - 0 22,g1e3,30,-212
8/2k4N/3p4/3Pp1p1/8/8/2KB2r1/8 w - - 0 49,h7g5,50,0
1bb1rknr/ppp1pppp/1n6/3q4/8/5N2/PPPP1PPP/NBBQRRK1 b kq - 3 4,c7c5,50,0
1Qn2rk1/p2Np2p/1p1n1qp1/5p2/1P3P2/1N4P1/P1PPP2P/1R1K1R1b b KQ - 0 11,f6f7,20,+625
bbqrnnkr/p1pppppp/1p6/8/1P6/8/P1PPPPPP/BBQRNNKR w KQkq - 0 2,c2c4,50,+8
2qrr2k/1pp2bpp/p2pnpn1/P7/1PPNPP2/5BBP/6P1/1Q1RR1K1 w - - 1 21,d4e6,20,+415
bnqrkrnb/pp2pppp/3p4/2p5/8/1P4P1/P1PPPP1P/BNQRKRNB w KQkq - 0 3,e2e3,50,+51
3n1knr/R1b1q1pp/3p1p2/1p2p3/1P2P3/2Q2P2/1BB1P1PP/5KNR b Kk - 0 18,c7b6,20,+779
1br2rk1/p1qp2pp/1p3p2/2pP2n1/8/1PPP2N1/P3QPPP/1BR2RK1 b - - 1 14,c7f4,50,+10
rbbnkqrn/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RBBNKQRN b KQkq - 0 2,b8h2,40,-147
3q3k/2p3b1/1p2Q1pp/8/p7/5NP1/P4P1P/4R1K1 w - - 0 28,e6g6,19,#+16
bbkr1r1q/p2pppp1/1p1n1n2/2p4p/2P3P1/1P3N1P/P2PPP2/BBKRNR1Q w - - 0 7,g4g5,40,+121
rb1k1nrq/pb2pppp/1p3B2/2pP4/6P1/1P6/P2PPP1P/RB1KNNRQ b KQkq - 0 6,g7f6,50,+19
3rr3/1p2n1bk/2pp1pp1/1p6/3PP2P/2K1B1PB/PP6/3R1R2 w - - 0 31,d1e1,50,+8
