Position,Move,Depth,Score
rqnbnk2/pp1ppp1b/7r/2p5/8/4PN2/PPPP2PP/RQNB1KBR w KQq - 2 6,c1d3,50,+40
1rk1bnr1/2p1n1pp/2q1p3/6B1/8/1P6/1PN1P1PP/QRK3R1 b KQkq - 0 16,e8g6,20,-661
brkbnr1q/p1p2ppp/1p1p1n2/4p3/2P5/1P2P1P1/P2P1P1P/BRKBNRNQ w KQkq - 0 5,d1f3,50,+45
rbqknrbn/pppp2pp/4pp2/8/4P3/1P6/PQPP1PPP/RB1KNRBN b KQkq - 1 3,d7d5,50,+1
qr3rkb/p2n3p/1p2p1p1/2p3P1/PP1p4/Q2PNP2/2PKNP2/1R2B1R1 b - - 1 15,d4e3,30,-260
2r2rk1/p2ppp2/1p4p1/2n1Pn1q/2P2P2/1PB2NP1/P1B1KQpP/1R6 w - - 0 22,f2g2,50,0
8/8/2B5/p1p1k2P/2P3K1/1P6/P2b3P/8 b - - 0 38,d2c1,50,+74
3rk2B/p3p2p/1p4pP/q5P1/4b3/1P1p1p2/PK1R4/2R5 b q - 5 32,a5d2,14,#-11
rkb1qbrn/p1p1p1pp/1pn5/4Pp2/5P2/8/PPP3PP/RKBNQBRN w KQkq - 0 6,e5e6,40,+111
nbqrn1kr/p3p1pp/4bp2/2Pp4/8/1N1NP3/P1P2PPP/1BQR1KBR w KQ - 3 8,f2f3,40,+168
rn3r2/1p2q1k1/p2p1npp/2pPpbN1/2P2P2/6P1/PP2N1BP/R2Q1RK1 w - - 0 17,g5e6,50,+1
rk1br2q/ppppp1p1/1n6/8/4PnPp/1NB5/PPP4P/RK1B1R2 b Qkq - 1 12,e7e5,20,-802
br1b1rk1/4qppp/pn1p1n2/2p1p3/P1P1P3/2NP1N2/1RB1QPPP/BR4K1 b - - 0 17,e7a7,50,+32
7k/pp4p1/2b4p/3P4/5b2/1BP3PQ/PP4K1/4r3 b - - 1 29,c6d5,20,+583
2r5/6rk/2b1p1p1/p2pP1Qp/2p2P1P/2B5/p5PK/5R2 b - - 4 53,d5d4,50,18
2kr2r1/pbn4p/2p3p1/3pP3/P1pP1P2/2B3P1/7P/2KRR2B b - - 0 20,c8b8,50,+23
4q1k1/p4p2/1p2b1pp/4Q3/1P1PB3/5P2/P6P/2R3K1 b - - 0 31,e8a4,20,+589
bbnrnqkr/p3ppp1/1p6/2pp3p/2PP3P/1P3N2/P3PPP1/BBNR1QKR b KQkq - 0 5,c5d4,50,+5
8/7k/7p/p4p2/8/7P/6PK/3r2B1 b - - 1 43,d1g1,20,-682
k1r5/1p1n4/p7/2PP2p1/1P6/8/2K2b2/3R3B w - - 1 35,h1g2,30,-326
b1q1r1kr/2n1pp2/3p1n1p/p2P2p1/2P2P2/Q3R2N/P1B3PP/BR4K1 b - - 0 22,c7d5,40,+224
6k1/pp1r2pp/5p2/7q/3p1P2/1pP1P1Q1/P6N/R1K3R1 b - - 0 33,d4c3,30,-473
8/3krr1p/p5p1/P5P1/2Q5/1Pp5/K1P4P/8 w - - 7 45,c4a6,20,+544
